52821204,"How to queue build pipeline as task from release pipeline? <p>There is a build pipeline that someone else owns in the project (it runs one shell script task doesn't publish anything). I own a release pipeline and want to run a job that effectively \queues\"" their build pipeline. I cannot add an extension to do this. Regardless of how we got to this point or best practices  is there a way to accomplish triggering a build of their build pipeline from a job in the release pipeline in azure devops? Thank you.</p>""",azure-devops
52818615,"Unable to download the change history and the discussion details of \Scrum tasks\"" in VSTS using odata <p>I don't exactly know how to fetch the change history and discussion details in VSTS. I have looked into Workitems and Work Item Revisions but didn't get any data related to history or discussion from it.</p>  <p>PFB the format of odata url used - </p>  <pre><code>https://analytics.dev.azure.com/{OrganizationName}/{ProjectName}/_odata/{version}//WorkItemRevisions?   $filter=WorkItemId eq {Id}   &amp;$select=WorkItemId  Title  State  https://analytics.dev.azure.com/{OrganizationName}/{ProjectName}/_odata/{version}//WorkItems?   $filter=WorkItemId eq {Id}   &amp;$select=WorkItemId  Title  State </code></pre>""",azure-devops
55840501,Is FileUpload functionality for Azure IoT Java SDK possible on Android? <p>We've been trying to use the Azure IoT SDK for Java on Android (via Kotlin) to initiate blob file uploads. The process seems to hang after the SAS token is received and the call to the CloudBlockBlob constructor is made.</p>  <p>So I tried calling the constructor directly and discovered a dependency on <code>javax.xml.stream.XMLOutputFactory</code> by virtue of the dependency on the Azure Storage SDK v. 2.2 (suprisingly old!).  The <code>javax</code> libraries AFAIK aren't easily incorporated on Android.  </p>  <p>There is a separate Android storage SDK (which presumably doesn't have these dependencies)  but including that in addition to the IoT SDK understandably results in a ton of Duplicate Class errors.</p>  <p>What's the way out of this?  Fork the Azure IoT SDK for Java and replace the storage SDK reference with the Android version?</p>,azure-storage
29638084,"Error Calling InitializeCache on WindowsAzure Storage Account <p>I have the following snippet being called on on application start:</p>  <pre><code>var driveCache = RoleEnvironment.GetLocalResource(\imageslive\""); CloudDrive.InitializeCache(driveCache.RootPath  driveCache.MaximumSizeInMegabytes); </code></pre>  <p>This has been working for year or so. I have just upload a new version of the site and am now getting the following error:</p>  <pre><code>Exception of type 'Microsoft.WindowsAzure.CloudDrive.Interop.InteropCloudDriveException' was thrown. at ThrowIfFailed(UInt32 hr) at Microsoft.WindowsAzure.StorageClient.CloudDrive.InitializeCache(String cachePath  Int32 totalCacheSize)  Unknown Error HRESULT=80070103 at Microsoft.WindowsAzure.StorageClient.CloudDrive.InitializeCache(String cachePath  Int32 totalCacheSize) at Site.Global.Application_Start(Object sender  EventArgs e) </code></pre>  <p>This works when running from within VS with the emulator so presumably is something about the update. </p>  <p>Does anyone have any pointers about how I might go about getting more information? I cannot see any way of getting more information  let alone what the sudden cause of the error is.</p>""",azure-storage
56484241,"AZURE_FUNCTIONS_ENVIRONMENT vs ASPNETCORE_ENVIRONMENT <p>In azure functions (v2  c#)  there are two environment variables that can be potentially used to identify the name of the current environment.</p>  <ul> <li><code>AZURE_FUNCTIONS_ENVIRONMENT</code></li> <li><code>ASPNETCORE_ENVIRONMENT</code></li> </ul>  <p>I am planning to use <code>AZURE_FUNCTIONS_ENVIRONMENT</code>  and I am wondering if there are reasons to choose one over another?</p>  <p>In terms of behavior of the two  this is what I discovered:</p>  <ul> <li><code>AZURE_FUNCTIONS_ENVIRONMENT</code> is set to <code>Development</code> locally by the functions host/runtime. It is not automatically set in azure to <code>Production</code>. One can set this in App Settings in azure.</li> <li><code>ASPNETCORE_ENVIRONMENT</code> is not set by the functions host/runtime either locally or in Azure.</li> </ul>  <p>I have also raised a <a href=\https://github.com/Azure/azure-functions-host/issues/4491\"" rel=\""nofollow noreferrer\"">github issue</a> about this a couple of weeks ago  but got no response. I am hoping I might get an answer here.</p>""",azure-functions
15122998,Azure Blob Shared Access Signature without the api <p>I'm trying to create a REST call to Azure to List Blobs within a container.  The container is private so I need to access it through a Shared Access Signature (SAS).</p>  <p>I make that call in a Silverlight application so I cannot use the Client API.</p>  <p>I find a lot of examples with ClientAPI but nothing really clear and obvious for REST.</p>  <p>Anyone has a nice... clean and simple example on how to do that?</p>  <p>Thanks</p>,azure-storage
39381114,"Azure Webapp wheels --find-links does not work <p>I have been struggling with --find-links for an entire day  and I will be very grateful if sb could help me out here.</p>  <p>I have been developing using python3.4 and one of the new features I added uses Azure Storage( the most recent version) and it requires cryptograph  which requires cffi  idna  etc... However  when I try to test it against Azure Webapp  the deployment failes  saying 'error : unable to find vcvarsall.bat'</p>  <p>With some research  I figured putting --find-links wheelhouse at the top of my requirements.txt and have wheels(cffi-1.8.2-cp34-cp34m-win32.whl (md5) and cryptography-1.5-cp34-cp34m-win32.whl (md5)) located at wheelhouse folder in the root should work. This was not helping at all  and I was running into same problems.</p>  <p>I tried --no-index and it gives \Could not find any downloads that satisfy the requirement cffi==1.8.2\"". Somebody says if I want to use --no-index  then I should have all wheels located in wheelhouse; otherwise  i will get that error.</p>  <p>With this  I would like to use my wheels for cffi and cryptograph and the rest download from pypi. Anyone have any clue...? HELP!</p>""",azure-web-app-service
55574037,"Access denied on wwwroot after DevOps deployment <p>I've deployed a .Net Core web application to Azure App Service using Azure DevOps. Now  when I try to create file in 'D:\\home\\site\\wwwroot' using Kudu it says:</p>  <blockquote>   <p>409 Conflict: Could not write to local resource 'D:\\home\\site\\wwwroot\\anc' >due to error 'Could not find file 'D:\\home\\site\\wwwroot\\anc'.'.</p> </blockquote>  <p>I've noticed that the persmissions on the 'D:\\home\\site\\wwwroot' directory are different than in a similar web app that I deployed using Publish Profile</p>  <p>Get-Acl result on the problematic app:</p>  <pre><code>PS D:\\home\\site\\wwwroot&gt; Get-Acl \D:\\home\\site\\wwwroot\"" Get-Acl \""D:\\home\\site\\wwwroot\""         Directory: D:\\home\\site      Path    Owner                   Access                                           ----    -----                   ------                                           wwwroot IIS APPPOOL\\luncher-dev NT AUTHORITY\\SYSTEM Allow  FullControl...         </code></pre>  <p>Get-Acl result on other similar app:</p>  <pre><code>PS D:\\home\\site\\wwwroot&gt; Get-Acl \""D:\\home\\site\\wwwroot\"" Get-Acl \""D:\\home\\site\\wwwroot\""         Directory: D:\\home\\site      Path    Owner                  Access                                            ----    -----                  ------                                            wwwroot BUILTIN\\Administrators Everyone Allow  DeleteSubdirectoriesAndFiles ...   </code></pre>  <p>Corresponding Release pipeline from Azure DevOps</p>  <p><img src=\""https://i.imgur.com/BiFopkW.png\"" alt=\""Dev Ops Pipeline\""></p>  <p>How can I make the wwwroot directory writable?</p>""",azure-devops
53532538,Running an Azure DevOps pipline via CLI or web-hook <p>Is there a way to run (queue) a specific azure pipeline from the command line or via http web-hook or an API ? I would like to automatically trigger a pipeline without the need to change git or whatever. </p>,azure-devops
50077386,"How to dynamically define 'path' in @BlobOutput? <p>I am looking at the following code example at <a href=\https://github.com/Azure/azure-functions-java-worker\"" rel=\""nofollow noreferrer\"">https://github.com/Azure/azure-functions-java-worker</a></p>  <pre><code>public class MyClass {     @FunctionName(\""copy\"")     @StorageAccount(\""AzureWebJobsStorage\"")     @BlobOutput(name = \""$return\""  path = \""samples-output-java/{name}\"")     public static String copy(@BlobTrigger(name = \""blob\""  path = \""samples-input-java/{name}\"") String content) {         return content;     } } </code></pre>  <p>In <code>@BlobOutput</code> we are using <code>{name}</code> parameter  because it was provided to us in <code>@BlobInput</code>. How can I dynamically generate that name in my function?</p>  <p>I want my blob name to be <code>files/E36567AB1B93F7D9798</code> where the <code>E36567AB1B93F7D9798</code> part is a hash generated from blob content. I want to generate it inside the function and return the hash as output. Sort of like GitHub creates unique IDs for files.</p>""",azure-functions
11096470,"Accessing azure storage services <p>There are couple of ways to access azure storage services. And I wanted to know from the experts:</p>  <ul> <li>Which is the recommended way for accessing azure storage services?</li> <li>What are the pros/cons of either? (like performance  no of requests…)</li> </ul>  <p><a href=\http://msdn.microsoft.com/en-us/library/microsoft.windowsazure.storageclient.aspx\"" rel=\""nofollow\"">Windows Azure Storage Client Library Class Library</a> OR <a href=\""http://msdn.microsoft.com/en-us/library/windowsazure/dd179355\"" rel=\""nofollow\"">Windows Azure Storage Services REST API</a> </p>""",azure-storage
55062220,Disable certain W3C logging fields on Azure App Services <p>When logging web server logs in Azure App Services  every field is logged by default and there doesn't seem to be any way to disable specific fields.</p>  <p>Is there a way around this? Or am I missing something?</p>,azure-web-app-service
41119540,To add/remove Partition key and Row key to use Azure Tables with WebAPI <p>I am developing an application back-end using Azure and Web API. For this I have created some Azure tables. Below is the sample of my model.</p>  <pre><code>public class Device : TableEntity  {    public Device(string partitionKey  string rowKey)      {         this.PartitionKey = partitionKey;         this.RowKey = rowKey;      }        public Device() { }        public string DeviceName { get; set; }        public string DeviceOS { get; set; }        public string Make { get; set; }  } </code></pre>  <p>The Partition Key is formed by using Table Name like UD_Device (UD_ being a constant and Device being the table name. The Row key is simply the DeviceName unique for all devices.</p>  <p>Now when I query these tables in my Web API I get a List of entities along with Partition key and Row key as properties in them. </p>  <p>This list I have to give it to the front-end angular application as JSON  but the Partition Key and Row Key are not to be sent while doing this.</p>  <p>Same thing when I am making a POST request i.e. when I am getting data from angular front-end and I have to send it to Azure Table  then the user does not send the Partition key and Row key. So how could I make a model which caters need to both this requirement? </p>,azure-storage
11733665,"Load Balancing virtual machines via Service Management API - MS Azure <p>I found the below article to create a virtual machine and load balance with an existing virtual machine.</p>  <p><a href=\https://www.windowsazure.com/en-us/manage/windows/common-tasks/how-to-load-balance-virtual-machines/?_sm_au_=iVVNR02FVsMFjVB3\"" rel=\""nofollow\"">https://www.windowsazure.com/en-us/manage/windows/common-tasks/how-to-load-balance-virtual-machines/?_sm_au_=iVVNR02FVsMFjVB3</a></p>  <p>But how can the same be done via Service Management API.</p>  <p>The  related tags i found in the POST request to create a VM are   </p>  <p>LoadBalancedEndpointSetName  LoadBalancerProbe</p>  <p>Where do I get started ? How do i connect two virtual machine via API ?</p>  <p>Thanks.</p>""",azure-virtual-machine
56664562,"How to access Azure VM from App Service in virtual network by private DNS name? <ul> <li>VM and App Service are located in the same Virtual Network.</li> <li>App Service is added to VM through VNet Integration (preview)</li> <li>VM is autoregistered in Private DNS zone  say by name <code>myvm1</code>. And full name <code>myvm1.priv.zone</code></li> <li>Private DNS zone is linked to Virtual Network.</li> <li>Virtual Network - DNS Servers is set to default.</li> <li>VM and App Service were restarted after configuration.</li> </ul>  <p>Problem is I can resolve neither <code>myvm1</code> nor <code>myvm1.priv.zone</code> from App Service console by <code>nameresolver.exe</code></p>  <p>UPDATE: Actually  the issue is even bigger. App Service is not able to send requests to VMs in Virtual Network by their Private IPs (10.1.x.x) even if everything is allowed on VMs' subnet. If the same requests are sent to VMs' Public IPs there is no problem. <a href=\https://i.stack.imgur.com/uu2D5.png\"" rel=\""nofollow noreferrer\""><img src=\""https://i.stack.imgur.com/uu2D5.png\"" alt=\""VNET Integration settings\""></a></p>""",azure-virtual-machine
46047177,Build and Deploy Azure Functions App from Build Server <p>I have an Azure Functions App developed in Visual Studio using C# and Microsoft.NET.Sdk.Function.</p>  <p>I need to build and deploy this app from our Jenkins build server. What is the recommended approach? MSBuild? MSDeploy? Azure Functions CLI? FTP? I can't use the Source Control or VSTS deployment. </p>  <p>Some sample scripts would be appreciated!</p>,azure-functions
